NArea_RainMedium,WORKYEAR,NIDO,DATE,Time0,Time,Event,BroodReduction,HatchAsync,PROPORTIONALRANK
0.125,1990,90-256,1990-04-13,2,3,1,1,4,0.309989691
0.031746031746031744,1994,94-1433,1994-06-01,1,2,0,0,4,0.872705042
0.031746031746031744,1994,94-1433,1994-06-08,2,3,0,1,4,0.872705042
0.031746031746031744,1994,94-1433,1994-06-09,3,4,1,1,4,0.872705042
0.015873015873015872,1991,91-459,1991-04-16,1,2,0,0,6,0.348938823
0.015873015873015872,1991,91-459,1991-04-23,2,3,0,0,6,0.348938823
0.015873015873015872,1991,91-459,1991-04-30,3,4,0,0,6,0.348938823
0.015873015873015872,1991,91-459,1991-05-07,4,5,0,0,6,0.348938823
0.015873015873015872,1991,91-459,1991-05-14,5,6,0,0,6,0.348938823
0.015873015873015872,1991,91-459,1991-05-21,6,7,0,0,6,0.348938823
0,1991,91-459,1991-05-28,7,8,0,0,6,0.348938823
0,1991,91-459,1991-06-04,8,9,0,0,6,0.348938823
0,1991,91-459,1991-06-08,9,10,0,0,6,0.348938823
0.02976190476190476,1991,91-102,1991-04-06,1,2,0,0,4,0.232833952
0.02976190476190476,1991,91-102,1991-04-13,2,3,0,0,4,0.232833952
0.015873015873015872,1991,91-102,1991-04-20,3,4,0,0,4,0.232833952
0.015873015873015872,1991,91-102,1991-04-27,4,5,0,0,4,0.232833952
0.015873015873015872,1991,91-102,1991-05-04,5,6,0,0,4,0.232833952
0.015873015873015872,1991,91-102,1991-05-11,6,7,0,0,4,0.232833952
0.015873015873015872,1991,91-102,1991-05-18,7,8,0,0,4,0.232833952
0.015873015873015872,1991,91-102,1991-05-25,8,9,0,0,4,0.232833952
0,1991,91-102,1991-05-29,9,10,0,0,4,0.232833952
0.02976190476190476,1991,91-373,1991-04-14,1,2,0,0,6,0.325218469
0.015873015873015872,1991,91-373,1991-04-21,2,3,0,1,6,0.325218469
0.015873015873015872,1991,91-373,1991-04-28,3,4,1,0,6,0.325218469
0.015873015873015872,1991,91-373,1991-05-05,4,5,1,0,6,0.325218469
0.015873015873015872,1991,91-373,1991-05-12,5,6,1,0,6,0.325218469
0.015873015873015872,1991,91-373,1991-05-19,6,7,1,0,6,0.325218469
0.015873015873015872,1991,91-373,1991-05-26,7,8,1,0,6,0.325218469
0,1991,91-373,1991-06-02,8,9,1,0,6,0.325218469
0,1991,91-373,1991-06-06,9,10,1,1,6,0.325218469
0.02976190476190476,1991,91-083,1991-03-29,1,2,0,0,3,0.10674157
0.02976190476190476,1991,91-083,1991-04-05,2,3,0,0,3,0.10674157
